"General Rank",US News Ranking,"F1 Slots Ranking","Regional Ranking",University,City,State,% Chance,Rank Class (Estimated),Private / Public,Category
NA,NA,266,82,St. Joseph's  College (NY),Brooklyn,New York,50% to 50%,Below Average,Private,Regional Universities
NA,NA,268,82,SUNY College--Potsdam,Potsdam,New York,50% to 50%,Below Average,Public,Regional Universities
NA,NA,299,94,College of Mount St. Vincent,Bronx,New York,50% to 50%,Below Average,Private,Regional Universities
NA,NA,302,94,Utica College,Utica,New York,50% to 50%,Below Average,Private,Regional Universities
NA,NA,311,97,Mount St. Mary College,Newburgh,New York,50% to 50%,Below Average,Private,Regional Universities
NA,NA,334,103,The College of Saint Rose,Albany,New York,50% to 50%,Below Average,Public,Regional Universities
NA,NA,347,109,SUNY Buffalo State,Buffalo,New York,50% to 50%,Below Average,Public,Regional Universities
NA,NA,377,119,St. Thomas  Aquinas  College,Sparkill,New York,50% to 50%,Below Average,Private,Regional Universities
NA,NA,NA,131-171,Keuka College,Keuka Park,New York,50% to 50%,Below Average,Private,Regional Universities
NA,NA,NA,131-171,CUNY--College of Staten Island,Staten Island,New York,50% to 50%,Below Average,Public,Regional Universities
NA,NA,NA,131-171,Dominican College,Orangeburg,New York,50% to 50%,Below Average,Private,Regional Universities
NA,NA,NA,131-171,Medaille  College,Buffalo,New York,50% to 50%,Below Average,Private,Regional Universities
NA,NA,NA,131-171,Mercy College,Dobbs Ferry,New York,50% to 50%,Below Average,Private,Regional Universities
NA,NA,NA,131-171,Metropolitan College of New York,New York,New York,50% to 50%,Below Average,Public,Regional Universities
NA,NA,NA,131-171,Nyack College,New York,New York,50% to 50%,Below Average,Private,Regional Universities
NA,NA,NA,131-171,SUNY College--Old Westbury,Old Westbury,New York,50% to 50%,Below Average,Public,Regional Universities
NA,NA,NA,131-171,SUNY Empire State College,Saratoga  Springs,New York,50% to 50%,Below Average,Public,Regional Universities
NA,NA,NA,Unranked,Fashion Institute  of Technology,New York,New York,50% to 50%,Below Average,Private,Regional Universities
13,9,11,-,Duke University,Durham,North Carolina,90% to 99%,Excellent,Private,National Universities
32,28,30,-,University of North Carolina--Chapel Hill,Chapel Hill,North Carolina,90% to 99%,Excellent,Public,National Universities
85,28,56,-,Wake Forest University,Winston-Salem,North Carolina,90% to 99%,Excellent,Private,National Universities
NA,NA,40,6,Appalachian State University,Boone,North Carolina,80% to 89%,Very Good,Public,Regional Universities
67,79,73,-,North Carolina  State University,Somewhere,North Carolina,80% to 89%,Very Good,Public,National Universities
83,83,83,-,Elon University,Elon,North Carolina,80% to 89%,Very Good,Private,National Universities
187,187,187,-,University of North Carolina--Wilmington,Wilmington,North Carolina,70% to 79%,Good,Public,National Universities
213,213,213,-,East Carolina  University,Greenville,North Carolina,60% to 69%,Average,Public,National Universities
227,227,227,-,University of North Carolina--Charlotte,Charlotte,North Carolina,60% to 69%,Average,Public,National Universities
