"General Rank",US News Ranking,"F1 Slots Ranking","Regional Ranking",University,City,State,% Chance,Rank Class (Estimated),Private / Public,Category
74,196,135,-,University of New Mexico,Albuquerque,New Mexico,70% to 79%,Good,Public,National Universities
227,227,227,-,New Mexico State University,Las Cruces,New Mexico,60% to 69%,Average,Public,National Universities
NA,NA,NA,94-122,Eastern New Mexico University,Portales,New Mexico,50% to 50%,Below Average,Public,Regional Universities
NA,NA,NA,94-122,New Mexico Highlands  University,Las Vegas,New Mexico,50% to 50%,Below Average,Private,Regional Universities
NA,NA,NA,94-122,University of the Southwest,Hobbs,New Mexico,50% to 50%,Below Average,Private,Regional Universities
NA,NA,NA,94-122,Western  New Mexico University,Silver City,New Mexico,50% to 50%,Below Average,Public,Regional Universities
7,2,4,-,Columbia  University,New York,New York,90% to 99%,Excellent,Private,National Universities
12,17,14,-,Cornell  University,Ithica,New York,90% to 99%,Excellent,Private,National Universities
9,28,18,-,New York University,New York,New York,90% to 99%,Excellent,Private,National Universities
30,34,32,-,University of Rochester,Rochester,New York,90% to 99%,Excellent,Private,National Universities
NA,NA,52,10,Ithica College,Ithica,New York,80% to 89%,Very Good,Private,Regional Universities
NA,NA,55,11,Marist College,Poughkeepsie,New York,80% to 89%,Very Good,Private,Regional Universities
59,59,59,-,Syracuse  University,Syracuse,New York,80% to 89%,Very Good,Private,National Universities
39,93,66,-,Stony Brook University--SUNY,New York,New York,80% to 89%,Very Good,Public,National Universities
67,67,67,-,Rensselaer Polytechnic Institute,Somewhere,New York,80% to 89%,Very Good,Private,National Universities
68,68,68,-,Fordham  University,"New York, NY",New York,80% to 89%,Very Good,Private,National Universities
68,68,68,-,Yeshiva  University,New York,New York,80% to 89%,Very Good,Private,National Universities
50,93,71,-,University at Buffalo--SUNY,New York,New York,80% to 89%,Very Good,Public,National Universities
67,83,75,-,Binghamton University--SUNY,Somehwere,New York,80% to 89%,Very Good,Public,National Universities
117,117,117,-,Rochester Institute  of Technology,Rochester,New York,80% to 89%,Very Good,Private,National Universities
117,117,117,-,SUNY College of Environmental Science a,Syracuse,New York,80% to 89%,Very Good,Public,National Universities
NA,NA,58,12,SUNY Polytechnic Institute,Utica,New York,70% to 79%,Good,Public,Regional Universities
127,127,127,-,Clarkson University,Potsdam,New York,70% to 79%,Good,Private,National Universities
93,172,132,-,University at Albany--SUNY,Albany,New York,70% to 79%,Good,Public,National Universities
148,148,148,-,CUNY--City College,New York,New York,70% to 79%,Good,Public,National Universities
162,162,162,-,Hofstra  University,Hempstead,New York,70% to 79%,Good,Private,National Universities
172,172,172,-,Adelphi  University,Garden City,New York,70% to 79%,Good,Private,National Universities
172,172,172,-,St. John's University (NY),Queens,New York,70% to 79%,Good,Private,National Universities
187,187,187,-,St. John Fisher College,Rochester,New York,70% to 79%,Good,Public,National Universities
NA,NA,61,13,Le Moyne College,Syracuse,New York,70% to 79%,Good,Private,Regional Universities
NA,NA,61,13,Manhattan College,Riverdale,New York,70% to 79%,Good,Private,Regional Universities
NA,NA,61,13,Siena College,Loudonville,New York,70% to 79%,Good,Private,Regional Universities
NA,NA,65,16,CUNY--Baruch College,New York,New York,70% to 79%,Good,Public,Regional Universities
NA,NA,65,16,SUNY--Geneseo,Geneseo,New York,70% to 79%,Good,Public,Regional Universities
NA,NA,71,18,CUNY--Hunter College,New York,New York,70% to 79%,Good,Public,Regional Universities
NA,NA,71,18,St. Bonaventure University,St. Bonaventure,New York,70% to 79%,Good,Private,Regional Universities
NA,NA,85,21,Canisius  College,Buffalo,New York,70% to 79%,Good,Private,Regional Universities
NA,NA,85,21,Niagara  University,Niagara University,New York,70% to 79%,Good,Private,Regional Universities
213,213,213,-,Pace University,New York,New York,60% to 69%,Average,Private,National Universities
213,213,213,-,Touro College,New York,New York,60% to 69%,Average,Private,National Universities
227,227,227,-,Russell  Sage College,Troy,New York,60% to 69%,Average,Private,National Universities
288,288,288,-,Long Island University,Brookville,New York,60% to 69%,Average,Private,National Universities
NA,NA,106,27,Molloy College,Rockville  Centre,New York,60% to 69%,Average,Private,Regional Universities
NA,NA,123,31,SUNY--New Paltz,New Paltz,New York,60% to 69%,Average,Public,Regional Universities
NA,NA,131,33,Nazareth College,Rochester,New York,60% to 69%,Average,Private,Regional Universities
NA,NA,134,34,New York Institute  of Technology,Old Westbury,New York,60% to 69%,Average,Private,Regional Universities
NA,NA,147,35,Wagner College,Staten Island,New York,60% to 69%,Average,Private,Regional Universities
NA,NA,153,37,Alfred University,Alfred,New York,60% to 69%,Average,Private,Regional Universities
NA,NA,160,40,CUNY--John Jay College of Criminal Justice,New York,New York,60% to 69%,Average,Public,Regional Universities
NA,NA,173,47,CUNY-Queens College,Queens,New York,60% to 69%,Average,Public,Regional Universities
NA,NA,185,55,SUNY--Oswego,Oswego,New York,60% to 69%,Average,Public,Regional Universities
NA,NA,191,58,Iona College,New Rochelle,New York,60% to 69%,Average,Private,Regional Universities
NA,NA,199,58,Manhattanville College,Purchase,New York,60% to 69%,Average,Private,Regional Universities
299-391,299-391,299-391,-,D'Youville  College,Buffalo,New York,50% to 50%,Below Average,Private,National Universities
NA,NA,204,59,SUNY Maritime  College,Throggs  Neck,New York,50% to 50%,Below Average,Public,Regional Universities
NA,NA,213,62,CUNY--Lehman College,Bronx,New York,50% to 50%,Below Average,Public,Regional Universities
NA,NA,219,64,Monroe  College,Bronx,New York,50% to 50%,Below Average,Private,Regional Universities
NA,NA,229,68,SUNY--Fredonia,Fredonia,New York,50% to 50%,Below Average,Public,Regional Universities
NA,NA,232,69,SUNY--Platsburgh,Platsburgh,New York,50% to 50%,Below Average,Public,Regional Universities
NA,NA,238,71,CUNY--Brooklyn College,Brooklyn,New York,50% to 50%,Below Average,Public,Regional Universities
NA,NA,241,73,SUNY College--Cortland,Cortland,New York,50% to 50%,Below Average,Private,Regional Universities
NA,NA,251,78,Lebanon Valley College,Annville,New York,50% to 50%,Below Average,Private,Regional Universities
NA,NA,254,78,SUNY Brockport,Brockport,New York,50% to 50%,Below Average,Public,Regional Universities
NA,NA,256,78,SUNY College--Oneonta,Oneonta,New York,50% to 50%,Below Average,Public,Regional Universities
NA,NA,259,78,Roberts  Wesleyan  College,Rochester,New York,50% to 50%,Below Average,Public,Regional Universities
