"General Rank",US News Ranking,"F1 Slots Ranking","Regional Ranking",University,City,State,% Chance,Rank Class (Estimated),Private / Public,Category
NA,NA,286,88,Bemidji  State University,Bemidji,Minnesota,60% to 69%,Average,Public,Regional Universities
NA,NA,291,88,Concordia  University--St. Paul,St. Paul,Minnesota,60% to 69%,Average,Private,Regional Universities
NA,NA,294,88,Minnesota State University--Moorhead,Moorhead,Minnesota,60% to 69%,Average,Public,Regional Universities
NA,NA,317,95,St. Cloud State University,St. Cloud,Minnesota,60% to 69%,Average,Public,Regional Universities
299-391,299-391,299-391,-,Metropolitan State University,St. Paul,Minnesota,50% to 50%,Below Average,Public,National Universities
NA,NA,NA,119-157,Crown College,St. Bonifacius,Minnesota,50% to 50%,Below Average,Private,Regional Universities
NA,NA,NA,119-157,Southwest Minnesota State University,Marshall,Minnesota,50% to 50%,Below Average,Public,Regional Universities
148,148,148,-,University of Mississippi,University,Mississippi,70% to 79%,Good,Public,National Universities
196,196,196,-,Mississippi State University,Mississippi State,Mississippi,70% to 79%,Good,Public,National Universities
299-391,299-391,299-391,-,William  Carey University,Hattiesburg,Mississippi,50% to 50%,Below Average,Private,National Universities
299-391,299-391,299-391,-,Jackson State University,Jackson,Mississippi,50% to 50%,Below Average,Public,National Universities
299-391,299-391,299-391,-,University of Southern  Mississippi,Hattiesburg,Mississippi,50% to 50%,Below Average,Public,National Universities
25,14,19,-,Washington University in St. Louis,St. Louis,Missouri,90% to 99%,Excellent,Private,National Universities
NA,NA,40,6,Truman State University,Kirksville,Missouri,80% to 89%,Very Good,Public,Regional Universities
103,103,103,-,Saint Louis University,"St. Louis,",Missouri,80% to 89%,Very Good,Private,National Universities
NA,NA,58,12,Drury University,Springfield,Missouri,70% to 79%,Good,Private,Regional Universities
NA,NA,70,16,Webster  University,St. Louis,Missouri,70% to 79%,Good,Private,Regional Universities
NA,NA,99,24,Rockhurst  University,Kansas City,Missouri,70% to 79%,Good,Private,Regional Universities
122,122,122,-,University of Missouri,Columbia,Missouri,70% to 79%,Good,Public,National Universities
179,179,179,-,Missouri  University of Science  and Techno,Rolla,Missouri,70% to 79%,Good,Public,National Universities
NA,NA,175,51,Fontbonne University,St. Louis,Missouri,60% to 69%,Average,Private,Regional Universities
202,202,202,-,Maryville  University of St. Louis,St Louis,Missouri,60% to 69%,Average,Private,National Universities
239,239,239,-,University of Missouri--St. Louis,St. Louis,Missouri,60% to 69%,Average,Public,National Universities
249,249,249,-,University of Missouri--Kansas City,Kansas City,Missouri,60% to 69%,Average,Public,National Universities
NA,NA,252,74,Southeast  Missouri  State University,Cape Girardeau,Missouri,60% to 69%,Average,Public,Regional Universities
NA,NA,254,74,University of Central  Missouri,Warrensburg,Missouri,60% to 69%,Average,Public,Regional Universities
NA,NA,325,101,Northwest Missouri  State University,Maryville,Missouri,50% to 50%,Below Average,Public,Regional Universities
NA,NA,354,108,Stephens  College,Columbia,Missouri,50% to 50%,Below Average,Private,Regional Universities
NA,NA,376,117,Southwest Baptist University,Bolivar,Missouri,50% to 50%,Below Average,Private,Regional Universities
299-391,299-391,299-391,-,William  Woods University,Fulton,Missouri,50% to 50%,Below Average,Private,National Universities
299-391,299-391,299-391,-,Missouri  State University,Springfield,Missouri,50% to 50%,Below Average,Public,National Universities
299-391,299-391,299-391,-,Lindenwood University,St. Charles,Missouri,50% to 50%,Below Average,Private,National Universities
NA,NA,NA,119-157,Avila University,Kansas City,Missouri,50% to 50%,Below Average,Private,Regional Universities
NA,NA,NA,119-157,Columbia  College (MO),Columbia,Missouri,50% to 50%,Below Average,Private,Regional Universities
NA,NA,NA,119-157,Evangel  University,Springfield,Missouri,50% to 50%,Below Average,Private,Regional Universities
NA,NA,NA,119-157,Missouri  Baptist University,St. Louis,Missouri,50% to 50%,Below Average,Private,Regional Universities
NA,NA,NA,119-157,Missouri  Western State University,St. Joseph,Missouri,50% to 50%,Below Average,Public,Regional Universities
NA,NA,NA,119-157,Park University,Parkville,Missouri,50% to 50%,Below Average,Private,Regional Universities
NA,NA,127,35,Montana  Technological University,Butte,Montana,70% to 79%,Good,Private,Regional Universities
NA,NA,192,55,Rocky Mountain  College,Billings,Montana,60% to 69%,Average,Private,Regional Universities
263,263,263,-,Montana  State University,Bozeman,Montana,60% to 69%,Average,Public,National Universities
277,277,277,-,University of Montana,Missoula,Montana,60% to 69%,Average,Public,National Universities
NA,NA,NA,94-122,Montana  State University--Billings,Billings,Montana,50% to 50%,Below Average,Public,Regional Universities
103,103,103,-,Creighton  University,Omaha,Nebraska,80% to 89%,Very Good,Private,National Universities
NA,NA,97,24,Nebraska  Wesleyan  University,Lincoln,Nebraska,70% to 79%,Good,Private,Regional Universities
NA,NA,127,34,University of Nebraska--Kearney,Kearney,Nebraska,70% to 79%,Good,Public,Regional Universities
NA,NA,136,37,Concordia  University (NE),Seward,Nebraska,70% to 79%,Good,Private,Regional Universities
136,136,136,-,University of Nebraska--Lincoln,Lincoln,Nebraska,70% to 79%,Good,Public,National Universities
NA,NA,214,64,College of Saint Mary,Omaha,Nebraska,60% to 69%,Average,Private,Regional Universities
263,263,263,-,University of Nebraska--Omaha,Omaha,Nebraska,60% to 69%,Average,Public,National Universities
NA,NA,301,88,Wayne State College,Wayne,Nebraska,60% to 69%,Average,Public,Regional Universities
NA,NA,NA,119-157,Bellevue  University,Bellevue,Nebraska,50% to 50%,Below Average,Private,Regional Universities
NA,NA,NA,119-157,Chadron State College,Chadron,Nebraska,50% to 50%,Below Average,Public,Regional Universities
NA,NA,NA,119-157,Midland University,Fremont,Nebraska,50% to 50%,Below Average,Private,Regional Universities
NA,NA,NA,119-157,Peru State College,Peru,Nebraska,50% to 50%,Below Average,Public,Regional Universities
227,227,227,-,University of Nevada--Reno,Reno,Nevada,60% to 69%,Average,Public,National Universities
249,249,249,-,University of Nevada--Las Vegas,Las Vegas,Nevada,60% to 69%,Average,Public,National Universities
NA,NA,NA,94-122,Sierra Nevada  University,Incline Village,Nevada,50% to 50%,Below Average,Private,Regional Universities
32,13,22,-,Dartmouth College,Hanover,New Hampshire,90% to 99%,Excellent,Private,National Universities
136,136,136,-,University of New Hampshire,Durham,New Hampshire,70% to 79%,Good,Public,National Universities
NA,NA,398,126,Plymouth  State University,Plymouth,New Hampshire,50% to 50%,Below Average,Private,Regional Universities
NA,NA,NA,131-171,Franklin Pierce University,Rindge,New Hampshire,50% to 50%,Below Average,Private,Regional Universities
NA,NA,NA,131-171,Granite State College,Concord,New Hampshire,50% to 50%,Below Average,Private,Regional Universities
NA,NA,NA,131-171,New England College,Henniker,New Hampshire,50% to 50%,Below Average,Private,Regional Universities
NA,NA,NA,131-171,Rivier University,Nashua,New Hampshire,50% to 50%,Below Average,Private,Regional Universities
NA,NA,NA,131-171,Southern  New Hampshire University,Manchester,New Hampshire,50% to 50%,Below Average,Public,Regional Universities
NA,NA,106,27,Rider University,Lawrenceville,New Jersey,60% to 69%,Average,Private,Regional Universities
8,1,4,-,Princeton  University,Princeton,New Jersey,90% to 99%,Excellent,Private,National Universities
NA,NA,40,6,The College of New Jersey,Ewing,New Jersey,80% to 89%,Very Good,Private,Regional Universities
63,63,63,-,Rutgers  University--New Brunswick,Piscataway,New Jersey,80% to 89%,Very Good,Private,National Universities
83,83,83,-,Stevens  Institute  of Technology,Hoboken,New Jersey,80% to 89%,Very Good,Private,National Universities
90,103,96,-,New Jersey Institute  of Technology,Newark,New Jersey,80% to 89%,Very Good,Public,National Universities
97,127,112,-,Rutgers  - The State University of New Jer,Newark,New Jersey,70% to 79%,Good,Public,National Universities
127,127,127,-,Rutgers  University--Newark,Newark,New Jersey,70% to 79%,Good,Private,National Universities
127,127,127,-,Seton Hall University,South Orange,New Jersey,70% to 79%,Good,Private,National Universities
148,148,148,-,Rutgers  University--Camden,Camden,New Jersey,70% to 79%,Good,Private,National Universities
179,179,179,-,Rowan University,Glassboro,New Jersey,70% to 79%,Good,Private,National Universities
179,179,179,-,Montclair  State University,Montclair,New Jersey,70% to 79%,Good,Public,National Universities
NA,NA,71,18,Monmouth University,West Long Branch,New Jersey,70% to 79%,Good,Private,Regional Universities
NA,NA,137,34,Ramapo College of New Jersey,Mahwah,New Jersey,60% to 69%,Average,Private,Regional Universities
NA,NA,142,34,Stockton  University,Galloway,New Jersey,60% to 69%,Average,Private,Regional Universities
NA,NA,163,41,Fairleigh Dickinson  University,Teaneck,New Jersey,60% to 69%,Average,Private,Regional Universities
NA,NA,201,58,Saint Peters University,Jersey City,New Jersey,50% to 50%,Below Average,Private,Regional Universities
NA,NA,272,85,Caldwell  University,Caldwell,New Jersey,50% to 50%,Below Average,Private,Regional Universities
NA,NA,304,94,William  Paterson University of New Jerse,Wayne,New Jersey,50% to 50%,Below Average,Public,Regional Universities
NA,NA,352,109,Centenary  University,Hackettstown,New Jersey,50% to 50%,Below Average,Public,Regional Universities
NA,NA,359,114,Georgian  Court University,Lakewood,New Jersey,50% to 50%,Below Average,Public,Regional Universities
NA,NA,374,119,Saint Elizabeth  University,Morristown,New Jersey,50% to 50%,Below Average,Public,Regional Universities
NA,NA,NA,131-171,Kean University,Union,New Jersey,50% to 50%,Below Average,Private,Regional Universities
NA,NA,NA,131-171,Felician University,Lodi,New Jersey,50% to 50%,Below Average,Private,Regional Universities
NA,NA,NA,131-171,New Jersey City University,Jersey City,New Jersey,50% to 50%,Below Average,Private,Regional Universities
NA,NA,NA,Unranked,Thomas  Edison State University,Trenton,New Jersey,50% to 50%,Below Average,Public,Regional Universities
NA,NA,82,20,New Mexico Tech,Socorro,New Mexico,70% to 79%,Good,Public,Regional Universities
