"General Rank",US News Ranking,"F1 Slots Ranking","Regional Ranking",University,City,State,% Chance,Rank Class (Estimated),Private / Public,Category
75,68,71,-,Indiana  University--Bloomington,Bloomington,Indiana,80% to 89%,Very Good,Public,National Universities
NA,NA,82,19,Indiana  Wesleyan  University,Marion,Indiana,70% to 79%,Good,Private,Regional Universities
NA,NA,106,27,Marian University (IN),Indianapolis,Indiana,70% to 79%,Good,Private,Regional Universities
NA,NA,118,31,Huntington University,Huntington,Indiana,70% to 79%,Good,Private,Regional Universities
NA,NA,148,41,Saint Mary-of-the-Woods College,St. Mary-of-the-Wo,Indiana,70% to 79%,Good,Private,Regional Universities
NA,NA,160,46,Anderson  University (IN),Anderson,Indiana,70% to 79%,Good,Private,Regional Universities
NA,NA,163,46,Bethel University (IN),Mishawaka,Indiana,70% to 79%,Good,Private,Regional Universities
172,172,172,-,Valparaiso  University,Valparaiso,Indiana,70% to 79%,Good,Private,National Universities
196,196,196,-,Indiana  University Purdue University India,Indianapolis,Indiana,70% to 79%,Good,Public,National Universities
202,202,202,-,Ball State University,Muncie,Indiana,60% to 69%,Average,Public,National Universities
NA,NA,232,69,Trine University,Angola,Indiana,60% to 69%,Average,Private,Regional Universities
NA,NA,237,69,University of Saint Francis,Fort Wayne,Indiana,60% to 69%,Average,Private,Regional Universities
239,239,239,-,University of Indianapolis,Indianapolis,Indiana,60% to 69%,Average,Private,National Universities
NA,NA,299,88,University of Southern  Indiana,Evansville,Indiana,60% to 69%,Average,Public,Regional Universities
NA,NA,340,106,Grace College and Seminary,Winona  Lake,Indiana,50% to 50%,Below Average,Private,Regional Universities
NA,NA,343,106,Purdue University--Fort Wayne,Fort Wayne,Indiana,50% to 50%,Below Average,Public,Regional Universities
NA,NA,349,108,Indiana  Tech,Fort Wayne,Indiana,50% to 50%,Below Average,Private,Regional Universities
NA,NA,358,112,Indiana  University East,Richmond,Indiana,50% to 50%,Below Average,Public,Regional Universities
NA,NA,366,112,Purdue University--Northwest,Hammond,Indiana,50% to 50%,Below Average,Public,Regional Universities
299-391,299-391,299-391,-,Indiana  State University,Terre Haute,Indiana,50% to 50%,Below Average,Public,National Universities
NA,NA,NA,119-157,Calumet  College of St. Joseph,Whiting,Indiana,50% to 50%,Below Average,Private,Regional Universities
NA,NA,NA,119-157,Indiana  University Northwest,Gary,Indiana,50% to 50%,Below Average,Public,Regional Universities
NA,NA,NA,119-157,Indiana  University--South Bend,South Bend,Indiana,50% to 50%,Below Average,Public,Regional Universities
NA,NA,NA,119-157,Indiana  University Southeast,New Albany,Indiana,50% to 50%,Below Average,Public,Regional Universities
99,83,91,-,University of Iowa,Iowa City,Iowa,80% to 89%,Very Good,Public,National Universities
NA,NA,89,19,University of Northern  Iowa,Cedar Falls,Iowa,70% to 79%,Good,Public,Regional Universities
NA,NA,108,27,St. Ambrose  University,Davenport,Iowa,70% to 79%,Good,Private,Regional Universities
122,122,122,-,Iowa State University of Science  and Tech,Ames,Iowa,70% to 79%,Good,Public,National Universities
136,136,136,-,Drake University,Des Moines,Iowa,70% to 79%,Good,Private,National Universities
NA,NA,169,49,Buena Vista University,Storm Lake,Iowa,70% to 79%,Good,Private,Regional Universities
NA,NA,180,51,Mount Mercy University,Cedar Rapids,Iowa,60% to 69%,Average,Private,Regional Universities
NA,NA,208,61,Morningside University,Sioux City,Iowa,60% to 69%,Average,Private,Regional Universities
NA,NA,234,69,University of Dubuque,Dubuque,Iowa,60% to 69%,Average,Private,Regional Universities
239,239,239,-,Clarke University,Dubuque,Iowa,60% to 69%,Average,Private,National Universities
NA,NA,NA,119-157,Graceland  University,Lamoni,Iowa,50% to 50%,Below Average,Private,Regional Universities
NA,NA,NA,119-157,Maharishi  International University,Fairfield,Iowa,50% to 50%,Below Average,Private,Regional Universities
NA,NA,NA,119-157,Upper Iowa University,Fayette,Iowa,50% to 50%,Below Average,Private,Regional Universities
NA,NA,NA,119-157,Waldorf  University,Forest City,Iowa,50% to 50%,Below Average,Private,Regional Universities
92,122,107,-,University of Kansas,Kansas City,Kansas,80% to 89%,Very Good,Public,National Universities
162,162,162,-,Kansas State University,Manhattan,Kansas,70% to 79%,Good,Public,National Universities
263,263,263,-,Baker University,Baldwin City,Kansas,60% to 69%,Average,Private,National Universities
NA,NA,271,82,Emporia  State University,Emporia,Kansas,60% to 69%,Average,Public,Regional Universities
NA,NA,296,88,Pittsburg  State University,Pittsburg,Kansas,60% to 69%,Average,Public,Regional Universities
NA,NA,310,95,Friends  University,Wichita,Kansas,60% to 69%,Average,Private,Regional Universities
NA,NA,328,101,University of Saint Mary,Leavenworth,Kansas,50% to 50%,Below Average,Private,Regional Universities
NA,NA,346,108,Fort Hays State University,Hays,Kansas,50% to 50%,Below Average,Public,Regional Universities
NA,NA,363,112,Newman  University,Wichita,Kansas,50% to 50%,Below Average,Private,Regional Universities
NA,NA,373,117,MidAmerica Nazarene  University,Olathe,Kansas,50% to 50%,Below Average,Private,Regional Universities
299-391,299-391,299-391,-,Washburn  University,Topeka,Kansas,50% to 50%,Below Average,Private,National Universities
299-391,299-391,299-391,-,Wichita  State University,Wichita,Kansas,50% to 50%,Below Average,Public,National Universities
NA,NA,NA,119-157,Southwestern College,Winfield,Kansas,50% to 50%,Below Average,Private,Regional Universities
NA,NA,61,13,Asbury University,Wilmore,Kentucky,70% to 79%,Good,Private,Regional Universities
127,127,127,-,University of Kentucky,Lexington,Kentucky,70% to 79%,Good,Public,National Universities
187,187,187,-,University of Louisville,Louisville,Kentucky,70% to 79%,Good,Public,National Universities
202,202,202,-,Bellarmine University,Louisville,Kentucky,60% to 69%,Average,Private,National Universities
299-391,299-391,299-391,-,Spalding  University,Louisville,Kentucky,50% to 50%,Below Average,Private,National Universities
299-391,299-391,299-391,-,University of the Cumberlands,Williamsburg,Kentucky,50% to 50%,Below Average,Private,National Universities
299-391,299-391,299-391,-,Northern  Kentucky  University,Highland Heights,Kentucky,50% to 50%,Below Average,Public,National Universities
299-391,299-391,299-391,-,Western  Kentucky  University,Bowling  Green,Kentucky,50% to 50%,Below Average,Public,National Universities
76,42,59,-,Tulane University,New Orleans,Louisiana,90% to 99%,Excellent,Private,National Universities
172,172,172,-,Louisiana  State University--Baton Rouge,Baton Rouge,Louisiana,70% to 79%,Good,Public,National Universities
202,202,202,-,Loyola University New Orleans,New Orleans,Louisiana,60% to 69%,Average,Private,National Universities
277,277,277,-,Louisiana  Tech University,Ruston,Louisiana,60% to 69%,Average,Public,National Universities
299-391,299-391,299-391,-,University of New Orleans,New Orleans,Louisiana,50% to 50%,Below Average,Private,National Universities
299-391,299-391,299-391,-,University of Louisiana  at Lafayette,Lafayette,Louisiana,50% to 50%,Below Average,Public,National Universities
299-391,299-391,299-391,-,University of Louisiana--Monroe,Monroe,Louisiana,50% to 50%,Below Average,Public,National Universities
213,213,213,-,University of Maine,Orono,Maine,60% to 69%,Average,Public,National Universities
249,249,249,-,University of New England,Biddeford,Maine,60% to 69%,Average,Private,National Universities
299-391,299-391,299-391,-,Husson University,Bangor,Maine,50% to 50%,Below Average,Private,National Universities
NA,NA,NA,131-171,St. Joseph's  College (ME),Standish,Maine,50% to 50%,Below Average,Private,Regional Universities
NA,NA,NA,131-171,Thomas  College,Waterville,Maine,50% to 50%,Below Average,Public,Regional Universities
NA,NA,NA,Unranked,University of Southern  Maine,Portland,Maine,50% to 50%,Below Average,Public,Regional Universities
