"General Rank",US News Ranking,"F1 Slots Ranking","Regional Ranking",University,City,State,% Chance,Rank Class (Estimated),Private / Public,Category
249,249,249,-,University of St. Francis,Joliet,Illinois,60% to 69%,Average,Private,National Universities
263,263,263,-,Southern  Illinois University--Carbondale,Carbondale,Illinois,60% to 69%,Average,Public,National Universities
NA,NA,289,88,Columbia  College Chicago,Chicago,Illinois,60% to 69%,Average,Private,Regional Universities
NA,NA,312,95,Greenville University,Greenville,Illinois,60% to 69%,Average,Private,Regional Universities
NA,NA,315,95,Judson University,Elgin,Illinois,60% to 69%,Average,Private,Regional Universities
299-391,299-391,299-391,-,Roosevelt  University,Chicago,Illinois,50% to 50%,Below Average,Private,National Universities
299-391,299-391,299-391,-,Trinity International University,Deerfield,Illinois,50% to 50%,Below Average,Private,National Universities
299-391,299-391,299-391,-,Northern  Illinois University,DeKalb,Illinois,50% to 50%,Below Average,Public,National Universities
299-391,299-391,299-391,-,Aurora  University,Aurora,Illinois,50% to 50%,Below Average,Private,National Universities
299-391,299-391,299-391,-,Benedictine University,Lisle,Illinois,50% to 50%,Below Average,Private,National Universities
299-391,299-391,299-391,-,National  Louis University,Chicago,Illinois,50% to 50%,Below Average,Private,National Universities
299-391,299-391,299-391,-,Southern  Illinois University Edwardsville,Edwardsville,Illinois,50% to 50%,Below Average,Public,National Universities
NA,NA,NA,119-157,Chicago State University,Chicago,Illinois,50% to 50%,Below Average,Public,Regional Universities
NA,NA,NA,119-157,DeVry University,Naperville,Illinois,50% to 50%,Below Average,Private,Regional Universities
NA,NA,NA,119-157,Governors State University,University Park,Illinois,50% to 50%,Below Average,Public,Regional Universities
NA,NA,NA,119-157,Northeastern Illinois University,Chicago,Illinois,50% to 50%,Below Average,Public,Regional Universities
NA,NA,NA,119-157,Rockford  University,Rockford,Illinois,50% to 50%,Below Average,Private,Regional Universities
NA,NA,25,1,Butler University,Indianapolis,Indiana,90% to 99%,Excellent,Private,Regional Universities
47,19,33,-,University of Notre Dame,Notre Dame,Indiana,90% to 99%,Excellent,Private,National Universities
NA,NA,43,7,University of Evansville,Evansville,Indiana,80% to 89%,Very Good,Private,Regional Universities
53,49,51,-,Purdue University--West Lafayette,West Lafayetta,Indiana,80% to 89%,Very Good,Public,National Universities
