"General Rank",US News Ranking,"F1 Slots Ranking","Regional Ranking",University,City,State,% Chance,Rank Class (Estimated),Private / Public,Category
NA,NA,217,64,Texas A&M International University,Laredo,Texas,60% to 69%,Average,Public,Regional Universities
NA,NA,219,64,University of Texas of the Permian Basin,Odessa,Texas,60% to 69%,Average,Public,Regional Universities
NA,NA,238,71,Lubbock Christian University,Lubbock,Texas,60% to 69%,Average,Private,Regional Universities
NA,NA,240,71,Texas A&M University--Texarkana,Texarkana,Texas,60% to 69%,Average,Public,Regional Universities
NA,NA,248,71,West Texas A&M University,Canyon,Texas,60% to 69%,Average,Public,Regional Universities
249,249,249,-,Sam Houston State University,Huntsville,Texas,60% to 69%,Average,Private,National Universities
NA,NA,256,77,Midwestern State University,Wichita  Falls,Texas,60% to 69%,Average,Public,Regional Universities
NA,NA,258,77,Tarleton State University,Stephenville,Texas,60% to 69%,Average,Public,Regional Universities
263,263,263,-,University of the Incarnate  Word,San Antonio,Texas,60% to 69%,Average,Private,National Universities
NA,NA,271,82,University of North Texas at Dallas,Dallas,Texas,60% to 69%,Average,Public,Regional Universities
277,277,277,-,University of North Texas,Denton,Texas,60% to 69%,Average,Public,National Universities
288,288,288,-,Dallas Baptist University,Dallas,Texas,60% to 69%,Average,Private,National Universities
288,288,288,-,University of Texas at Arlington,Arlington,Texas,60% to 69%,Average,Public,National Universities
NA,NA,289,88,University of Houston--Downtown,Houston,Texas,60% to 69%,Average,Private,Regional Universities
NA,NA,298,92,Angelo State University,San Angelo,Texas,60% to 69%,Average,Public,Regional Universities
299-391,299-391,299-391,-,Our Lady of the Lake University,San Antonio,Texas,50% to 50%,Below Average,Private,National Universities
299-391,299-391,299-391,-,Texas Wesleyan  University,Fort Worth,Texas,50% to 50%,Below Average,Private,National Universities
299-391,299-391,299-391,-,Texas Woman's  University,Denton,Texas,50% to 50%,Below Average,Private,National Universities
299-391,299-391,299-391,-,Texas A&M University--Commerce,Commerce,Texas,50% to 50%,Below Average,Public,National Universities
299-391,299-391,299-391,-,Texas A&M University--Corpus Christi,Corpus Christi,Texas,50% to 50%,Below Average,Public,National Universities
299-391,299-391,299-391,-,Texas A&M University--Kingsville,Kingsville,Texas,50% to 50%,Below Average,Public,National Universities
299-391,299-391,299-391,-,Texas Southern  University,Houston,Texas,50% to 50%,Below Average,Public,National Universities
299-391,299-391,299-391,-,Texas State University,San Marcos,Texas,50% to 50%,Below Average,Public,National Universities
299-391,299-391,299-391,-,University of Texas at San Antonio,San Antonio,Texas,50% to 50%,Below Average,Public,National Universities
299-391,299-391,299-391,-,University of Texas at Tyler,Tyler,Texas,50% to 50%,Below Average,Public,National Universities
299-391,299-391,299-391,-,University of Texas--El  Paso,El Paso,Texas,50% to 50%,Below Average,Public,National Universities
299-391,299-391,299-391,-,University of Texas--Rio  Grande Valley,Edinburg,Texas,50% to 50%,Below Average,Public,National Universities
299-391,299-391,299-391,-,Lamar University,Beaumont,Texas,50% to 50%,Below Average,Private,National Universities
299-391,299-391,299-391,-,Stephen F. Austin State University,Nacogdoches,Texas,50% to 50%,Below Average,Public,National Universities
NA,NA,NA,94-122,Concordia  University Texas,Austin,Texas,50% to 50%,Below Average,Private,Regional Universities
NA,NA,NA,94-122,Prairie View A&M University,Prairie View,Texas,50% to 50%,Below Average,Public,Regional Universities
NA,NA,NA,94-122,Southwestern Assemblies of God Universi,Waxahachie,Texas,50% to 50%,Below Average,Private,Regional Universities
NA,NA,NA,94-122,Sul Ross State University,Alpine,Texas,50% to 50%,Below Average,Public,Regional Universities
NA,NA,NA,94-122,University of Houston--Victoria,Victoria,Texas,50% to 50%,Below Average,Private,Regional Universities
NA,NA,NA,94-122,Wayland Baptist University,Plainview,Texas,50% to 50%,Below Average,Private,Regional Universities
NA,NA,NA,Unranked,Texas A&M University--San Antonio,San Antonio,Texas,50% to 50%,Below Average,Public,Regional Universities
79,79,79,-,Brigham  Young University--Provo,Provo,Utah,80% to 89%,Very Good,Private,National Universities
87,99,93,-,University of Utah,Salt Lake City,Utah,80% to 89%,Very Good,Public,National Universities
NA,NA,76,18,Westminster College (UT),Salt Lake City,Utah,70% to 79%,Good,Private,Regional Universities
NA,NA,228,67,Southern  Utah University,Cedar City,Utah,60% to 69%,Average,Public,Regional Universities
249,249,249,-,Utah State University,Logan,Utah,60% to 69%,Average,Public,National Universities
NA,NA,263,77,Weber State University,Ogden,Utah,60% to 69%,Average,Public,Regional Universities
NA,NA,NA,94-122,Utah Valley University,Orem,Utah,50% to 50%,Below Average,Private,Regional Universities
117,117,117,-,University of Vermont,Burlington,Vermont,80% to 89%,Very Good,Public,National Universities
NA,NA,194,58,Norwich University,Northfield,Vermont,60% to 69%,Average,Private,Regional Universities
